Type;FSL-3;
Version;2.40;
Date;16.Oct 23;
Mode;ANALYZER;
Center Freq;99960000,000000;Hz
Freq Offset;0,000000;Hz
Span;196000000,000000;Hz
x-Axis;LIN;
Start;1960000,000000;Hz
Stop;197960000,000000;Hz
Ref Level;10,000000;dBm
Level Offset;0,000000;dB
Ref Position;100,000000;%
y-Axis;LOG;
Level Range;100,000000;dB
Rf Att;30,000000;dB
RBW;30000,000000;Hz
VBW;100000,000000;Hz
SWT;0,215000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
103096000;-65,709754943847656;-96,932090759277344
103488000;-67,314727783203125;-91,690956115722656
103880000;-66,909507751464844;-100,67511749267578
104272000;-66,948265075683594;-100,93292999267578
104664000;-64,404716491699219;-94,566795349121094
105056000;-67,534797668457031;-95,785598754882813
105448000;-65,911613464355469;-125,22879028320312
105840000;-66,049835205078125;-97,493354797363281
106232000;-65,592147827148438;-105,42118072509766
106624000;-67,5457763671875;-110,73373413085937
107016000;-66,908119201660156;-111,58728790283203
107408000;-66,6043701171875;-112,87496948242187
107800000;-65,536811828613281;-97,252738952636719
108192000;-68,798294067382812;-97,136970520019531
108584000;-67,025398254394531;-96,532440185546875
108976000;-66,034805297851562;-92,136459350585938
109368000;-65,80230712890625;-106,84695434570312
109760000;-67,386611938476563;-90,858650207519531
110152000;-66,354270935058594;-96,265655517578125
110544000;-67,354110717773437;-111,27947998046875
110936000;-68,996902465820313;-106,17253875732422
111328000;-67,079071044921875;-96,628639221191406
111720000;-65,17230224609375;-99,910995483398438
112112000;-66,853958129882813;-95,662399291992188
112504000;-68,962074279785156;-97,350761413574219
112896000;-64,93719482421875;-109,21733856201172
113288000;-65,533981323242188;-105,24848937988281
113680000;-63,995380401611328;-87,881965637207031
114072000;-66,326316833496094;-85,101959228515625
114464000;-69,523223876953125;-97,822685241699219
114856000;-66,992813110351563;-99,899131774902344
115248000;-65,669868469238281;-94,69708251953125
115640000;-66,460868835449219;-108,13325500488281
116032000;-67,6180419921875;-88,67352294921875
116424000;-65,706581115722656;-105,99240112304687
116816000;-67,334075927734375;-108,12880706787109
117208000;-66,873062133789063;-92,907661437988281
117600000;-65,021949768066406;-100,79521179199219
